q,0.861111
a,0.084722
s,0.201389
d,0.290278
d,0.293056
f,0.381944
z,0.186111
a,0.087500
s,0.202778
x,0.301389
h,0.568056
w,0.143056
f,0.415278
g,0.495833
h,0.591667
c,0.393056
v,0.488889
b,0.595833
n,0.720833
m,0.802778
?,0.522222
s,0.188889
d,0.277778
f,0.386111
g,0.481944
h,0.570833
w,0.687500
?,0.155556
f,0.412500
g,0.500000
h,0.577778
w,0.126389
f,0.409722
z,0.193056
f,0.388889
z,0.188889
a,0.061111
s,0.204167
x,0.301389
c,0.391667
v,0.484722
b,0.593056
n,0.730556
m,0.800000
s,0.191667
d,0.304167
f,0.390278
g,0.501389
h,0.594444
w,0.140278
f,0.397222
z,0.198611
x,0.302778
c,0.397222
v,0.502778
b,0.581944
s,0.177778
d,0.294444
f,0.400000
g,0.494444
h,0.612500
w,0.143056
e,0.240278
r,0.363889
t,0.444444
y,0.563889
e,0.236111
r,0.369444
t,0.445833
y,0.544444
u,0.650000
?,0.522222
b,0.583333
s,0.197222
d,0.308333
f,0.406944
g,0.495833
h,0.604167
i,0.744444
a,0.072222
s,0.206944
d,0.290278
f,0.401389
g,0.488889
m,0.811111
s,0.209722
d,0.305556
f,0.386111
w,0.148611
e,0.265278
r,0.354167
t,0.454167
y,0.561111
u,0.656944
i,0.766667
a,0.077778
y,0.580556
u,0.648611
i,0.737500
a,0.069444
s,0.198611
m,0.819444
s,0.194444
d,0.290278
f,0.400000
g,0.502778
h,0.606944
q,0.026389
w,0.150000
f,0.391667
g,0.484722
h,0.581944
o,0.856944
p,0.970833
e,0.243056
r,0.361111
t,0.447222
y,0.552778
a,0.095833
s,0.194444
d,0.298611
f,0.381944
g,0.504167
h,0.613889
j,0.688889
k,0.806944
l,0.908333
z,0.201389
q,0.025000
w,0.175000
f,0.384722
g,0.506944
s,0.201389
m,0.815278
w,0.176389
e,0.265278
y,0.550000
u,0.630556
g,0.500000
g,0.501389
s,0.179167
m,0.813889
s,0.204167
d,0.294444
f,0.412500
h,0.600000
q,0.019444
h,0.594444
o,0.856944
p,0.966667
a,0.063889
s,0.213889
d,0.306944
f,0.419444
w,0.143056
e,0.248611
r,0.369444
t,0.465278
y,0.561111
a,0.080556
s,0.187500
d,0.280556
f,0.395833
g,0.511111
h,0.600000
j,0.693056
k,0.806944
l,0.912500
z,0.198611
q,0.022222
w,0.155556
f,0.383333
g,0.522222
s,0.186111
m,0.802778
?,0.536111
s,0.190278
d,0.288889
f,0.400000
g,0.493056
h,0.608333
e,0.244444
r,0.365278
t,0.455556
y,0.550000
a,0.083333
s,0.206944
d,0.291667
f,0.398611
g,0.502778
h,0.594444
j,0.706944
k,0.804167
l,0.915278
z,0.193056
q,0.022222
w,0.130556
f,0.393056
g,0.484722
s,0.194444
?,0.551389
m,0.809722
w,0.154167
e,0.258333
y,0.541667
u,0.652778
g,0.509722
g,0.491667
s,0.205556
m,0.820833
s,0.186111
d,0.275000
f,0.404167
h,0.593056
q,0.018056
h,0.600000
o,0.848611
p,0.975000
a,0.048611
s,0.176389
d,0.290278
f,0.409722
g,0.500000
x,0.280556
c,0.406944
v,0.504167
b,0.587500
n,0.706944
q,0.018056
u,0.620833
g,0.502778
h,0.611111
s,0.215278
d,0.284722
f,0.406944
g,0.505556
h,0.602778
w,0.138889
e,0.252778
r,0.351389
t,0.462500
y,0.556944
u,0.634722
i,0.738889
m,0.823611
s,0.197222
d,0.284722
f,0.388889
g,0.515278
h,0.612500
w,0.148611
e,0.243056
r,0.352778
t,0.465278
y,0.569444
u,0.656944
g,0.505556
h,0.605556
q,0.013889
a,0.083333
s,0.191667
d,0.284722
f,0.406944
z,0.183333
x,0.300000
c,0.404167
v,0.493056
b,0.584722
n,0.702778
m,0.815278
e,0.248611
y,0.558333
u,0.634722
g,0.480556
h,0.601389
q,0.006944
a,0.061111
s,0.205556
d,0.284722
